index,AGS
1035,01061097
1036,01061098
1037,01061100
1038,01061101
1039,01061102
1040,01061103
1041,01061104
1042,01061105
1043,01061106
1044,01061107
1045,01061108
1046,01061109
1047,01061110
1048,01061111
1049,01061112
1050,01061113
1051,01061114
1052,01061115
1053,01061116
1054,01061117
1055,01061118
1056,01061119
1057,01062001
1058,01062003
1059,01062004
1060,01062005
1061,01062006
1062,01062008
1063,01062009
1064,01062011
1065,01062014
1066,01062016
1067,01062018
1068,01062019
1069,01062020
1070,01062021
1071,01062022
1072,01062023
1073,01062025
1074,01062026
1075,01062027
1076,01062031
1077,01062032
1078,01062033
1079,01062035
1080,01062036
1081,01062039
1082,01062040
1083,01062045
1084,01062046
1085,01062048
1086,01062050
1087,01062051
1088,01062053
1089,01062056
1090,01062058
1091,01062059
1092,01062060
1093,01062061
1094,01062062
1095,01062065
1096,01062069
1097,01062071
1098,01062076
1099,01062078
1100,01062081
1101,01062082
1102,01062083
1103,01062086
1104,01062087
1105,01062088
1106,01062089
1107,01062090
1108,01062091
1109,01062092
1110,01062093
1111,01062094
1112,02000000
1113,03101000
1114,03102000
1115,03103000
1116,03151001
1117,03151002
1118,03151003
1119,03151004
1120,03151005
1121,03151006
1122,03151007
1123,03151008
1124,03151009
1125,03151010
1126,03151011
1127,03151012
1128,03151013
1129,03151014
1130,03151015
1131,03151016
1132,03151017
1133,03151018
1134,03151019
1135,03151020
1136,03151021
1137,03151022
1138,03151023
1139,03151024
1140,03151025
1141,03151026
1142,03151027
1143,03151028
1144,03151029
1145,03151030
1146,03151031
1147,03151032
1148,03151033
1149,03151034
1150,03151035
1151,03151036
1152,03151037
1153,03151038
1154,03151039
1155,03151040
1156,03151041
1157,03151501
1158,03152001
1159,03152002
1160,03152003
1161,03152004
1162,03152005
1163,03152006
1164,03152007
1165,03152008
1166,03152009
1167,03152010
1168,03152011
1169,03152012
1170,03152013
1171,03152014
1172,03152015
1173,03152016
1174,03152017
1175,03152018
1176,03152019
1177,03152020
1178,03152021
1179,03152022
1180,03152023
1181,03152024
1182,03152025
1183,03152026
1184,03152027
1185,03152028
1186,03152029
1187,03153002
1188,03153006
1189,03153007
1190,03153008
1191,03153009
1192,03153012
1193,03153014
1194,03153016
1195,03153017
1196,03153018
1197,03153504
1198,03154001
1199,03154002
1200,03154003
1201,03154004
1202,03154005
1203,03154006
1204,03154007
1205,03154008
1206,03154009
1207,03154010
1208,03154011
1209,03154012
1210,03154013
1211,03154014
1212,03154015
1213,03154016
1214,03154017
1215,03154018
1216,03154019
1217,03154020
1218,03154021
1219,03154022
1220,03154023
1221,03154024
1222,03154025
1223,03154026
1224,03154501
1225,03154502
1226,03154503
1227,03154504
1228,03154506
1229,03155001
1230,03155002
1231,03155003
1232,03155005
1233,03155006
1234,03155007
1235,03155009
1236,03155010
1237,03155011
1238,03155012
1239,03155013
1240,03155501
1241,03156002
1242,03156003
1243,03156006
1244,03156008
1245,03156009
1246,03156010
1247,03156011
1248,03156012
1249,03156013
1250,03156015
1251,03156016
1252,03156017
1253,03156501
1254,03157001
1255,03157002
1256,03157005
1257,03157006
1258,03157007
1259,03157008
1260,03157009
1261,03158002
1262,03158004
1263,03158005
1264,03158006
1265,03158007
1266,03158008
1267,03158009
1268,03158010
1269,03158011
1270,03158012
1271,03158013
1272,03158014
1273,03158016
1274,03158017
1275,03158018
1276,03158019
1277,03158021
1278,03158022
1279,03158023
1280,03158024
1281,03158025
1282,03158027
1283,03158028
1284,03158029
1285,03158030
1286,03158031
1287,03158032
1288,03158033
1289,03158035
1290,03158036
1291,03158037
1292,03158038
1293,03158039
1294,03158501
1295,03158502
1296,03158503
1297,03241001
1298,03241002
1299,03241003
1300,03241004
1301,03241005
1302,03241006
1303,03241007
1304,03241008
1305,03241009
1306,03241010
1307,03241011
1308,03241012
1309,03241013
1310,03241014
1311,03241015
1312,03241016
1313,03241017
1314,03241018
1315,03241019
1316,03241020
1317,03241021
1318,03251001
1319,03251002
1320,03251003
1321,03251004
1322,03251005
1323,03251006
1324,03251007
1325,03251008
1326,03251009
1327,03251011
1328,03251012
1329,03251013
1330,03251014
1331,03251015
1332,03251017
1333,03251018
1334,03251019
1335,03251020
1336,03251021
1337,03251022
1338,03251023
1339,03251024
1340,03251025
1341,03251026
1342,03251027
1343,03251028
1344,03251029
1345,03251030
1346,03251031
1347,03251032
1348,03251033
1349,03251034
1350,03251035
1351,03251036
1352,03251037
1353,03251038
1354,03251039
1355,03251040
1356,03251041
1357,03251042
1358,03251043
1359,03251044
1360,03251045
1361,03251046
1362,03251047
1363,03251048
1364,03252001
1365,03252002
1366,03252003
1367,03252004
1368,03252005
1369,03252006
1370,03252007
1371,03252008
1372,03254001
1373,03254002
1374,03254003
1375,03254004
1376,03254005
1377,03254006
1378,03254007
1379,03254008
1380,03254009
1381,03254010
1382,03254011
1383,03254012
1384,03254013
1385,03254014
1386,03254015
1387,03254016
1388,03254017
1389,03254018
1390,03254019
1391,03254020
1392,03254021
1393,03254022
1394,03254023
1395,03254024
1396,03254025
1397,03254026
1398,03254027
1399,03254028
1400,03254029
1401,03254030
1402,03254031
1403,03254032
1404,03254033
1405,03254034
1406,03254035
1407,03254036
1408,03254037
1409,03254038
1410,03254039
1411,03254040
1412,03255001
1413,03255002
1414,03255003
1415,03255004
1416,03255005
1417,03255007
1418,03255008
1419,03255009
1420,03255010
1421,03255012
1422,03255013
1423,03255014
1424,03255015
1425,03255016
1426,03255017
1427,03255018
1428,03255019
1429,03255020
1430,03255021
1431,03255022
1432,03255023
1433,03255025
1434,03255026
1435,03255027
1436,03255028
1437,03255030
1438,03255031
1439,03255032
1440,03255033
1441,03255034
1442,03255035
1443,03255036
1444,03255501
1445,03255502
1446,03255503
1447,03255504
1448,03255505
1449,03255506
1450,03255508
1451,03256001
1452,03256002
1453,03256003
1454,03256004
1455,03256005
1456,03256006
1457,03256007
1458,03256008
1459,03256009
1460,03256010
1461,03256011
1462,03256012
1463,03256013
1464,03256014
1465,03256015
1466,03256016
1467,03256017
1468,03256018
1469,03256019
1470,03256020
1471,03256021
1472,03256022
1473,03256023
1474,03256024
1475,03256025
1476,03256026
1477,03256027
1478,03256028
1479,03256029
1480,03256030
1481,03256031
1482,03256032
1483,03256033
1484,03256034
1485,03256035
1486,03256036
1487,03257001
1488,03257002
1489,03257003
1490,03257004
1491,03257005
1492,03257006
1493,03257007
1494,03257008
1495,03257009
1496,03257010
1497,03257011
1498,03257012
1499,03257013
1500,03257014
1501,03257015
1502,03257016
1503,03257017
1504,03257018
1505,03257019
1506,03257020
1507,03257021
1508,03257022
1509,03257023
1510,03257024
1511,03257025
1512,03257026
1513,03257027
1514,03257028
1515,03257029
1516,03257030
1517,03257031
1518,03257032
1519,03257033
1520,03257034
1521,03257035
1522,03257036
1523,03257037
1524,03257038
1525,03351001
1526,03351002
1527,03351003
1528,03351004
1529,03351005
1530,03351006
1531,03351007
1532,03351008
1533,03351010
1534,03351012
1535,03351015
1536,03351016
1537,03351017
1538,03351018
1539,03351021
1540,03351022
1541,03351023
1542,03351024
1543,03351025
1544,03351026
1545,03351501
1546,03352002
1547,03352004
1548,03352008
1549,03352009
1550,03352011
1551,03352018
1552,03352020
1553,03352022
1554,03352024
1555,03352025
1556,03352029
1557,03352032
1558,03352036
1559,03352038
1560,03352039
1561,03352041
1562,03352042
1563,03352043
1564,03352044
1565,03352045
1566,03352046
1567,03352050
1568,03352051
1569,03352052
1570,03352055
1571,03352056
1572,03352059
1573,03352060
1574,03352061
1575,03352062
1576,03353001
1577,03353002
1578,03353003
1579,03353004
1580,03353005
1581,03353006
1582,03353007
1583,03353008
1584,03353009
1585,03353010
1586,03353011
1587,03353012
1588,03353013
1589,03353014
1590,03353015
1591,03353016
1592,03353017
1593,03353018
1594,03353019
1595,03353020
1596,03353021
1597,03353022
1598,03353023
1599,03353024
1600,03353025
1601,03353026
1602,03353027
1603,03353028
1604,03353029
1605,03353030
1606,03353031
1607,03353032
1608,03353033
1609,03353034
1610,03353035
1611,03353036
1612,03353037
1613,03353038
1614,03353039
1615,03353040
1616,03353041
1617,03353042
1618,03354001
1619,03354002
1620,03354003
1621,03354004
1622,03354005
1623,03354006
1624,03354007
1625,03354008
1626,03354009
1627,03354010
1628,03354011
1629,03354012
1630,03354013
1631,03354014
1632,03354015
1633,03354016
1634,03354017
1635,03354018
1636,03354019
1637,03354020
1638,03354021
1639,03354022
1640,03354023
1641,03354024
1642,03354025
1643,03354026
1644,03354027
1645,03354501
1646,03354502
1647,03355001
1648,03355002
1649,03355003
1650,03355004
1651,03355005
1652,03355006
1653,03355007
1654,03355008
1655,03355009
1656,03355010
1657,03355011
1658,03355012
1659,03355013
1660,03355014
1661,03355015
1662,03355016
1663,03355017
1664,03355018
1665,03355019
1666,03355020
1667,03355021
1668,03355022
1669,03355023
1670,03355024
1671,03355025
1672,03355026
1673,03355027
1674,03355028
1675,03355029
1676,03355030
1677,03355031
1678,03355032
1679,03355033
1680,03355034
1681,03355035
1682,03355036
